,h3_index_int,mmsi,imo,length,width,vessel_type,vessel_type_main,obs_time,flag_country,source,destination,time_lower,time_upper,unix_trigger,avg_unix,unix_disarm,sd_lat,sd_lng,trigger_lat,trigger_lng,avg_lat,avg_lng,disarm_lat,disarm_lng,mode_nav_status,obs_nav_status,state_initial,state_final,obs_count,is_valid,geom_wkt,wkt_avg_pt,imo_ihs,ShipName,mmsi_ihs,RegisteredOwnerCountryOfRegistration,RegisteredOwnerCountryofDomicile,Tonnagesystem69convention,GrossTonnage,Deadweight,ShiptypeLevel5,shipSource,Hirarki_1,Prov_ID,Kode
4470,623335841504296959,525017064,9114294,24.0,6.0,Passenger,Service Ship,2023-01-01 00:08:21,Indonesia,T-AIS,INTIPRATAMA,553.7166666666667,553.35,1672531701,1673677768,1674523776,8.039499059698239e-05,4.890637528530998e-05,-1.212435,116.828475,-1.2124928741207348,116.82854703187664,-1.21257333,116.82855333,Moored,762,1,2,762,valid,"LINESTRING (116.828475 -1.212435, 116.82854703187664 -1.2124928741207348,116.82855333 -1.21257333)",POINT (116.82854703187664 -1.2124928741207348),9114294,MALEO,525017064.0,Indonesia,Indonesia,I,99,46,Crew/Supply Vessel,imo match,1,64,BPN
12269,623987049691676671,525015382,7128095,65.0,16.0,Passenger,Passenger Ship,2023-01-01 00:08:51,Indonesia,T-AIS,SEMARANG,2.8666666666666667,1.8166666666666667,1672531731,1672534677,1672538314,0.0001856996764877387,0.0004848803340701698,-6.90160667,110.35282167,-6.901724048571429,110.35351143000001,-6.9016,110.35394,At Anchor,7,1,2,7,valid,"LINESTRING (110.35282167 -6.90160667, 110.35351143000001 -6.901724048571429,110.35394 -6.9016)",POINT (110.35351143000001 -6.901724048571429),7128095,DHARMA FERRY 2,525015382.0,Indonesia,Indonesia,F,2673,2500,Passenger/Ro-Ro Ship (Vehicles),imo match,1,33,SRG
16321,623960961373077503,525019468,7352799,151.0,18.0,Passenger,Passenger Ship,2023-01-01 00:08:59,Indonesia,T-AIS,MERAK - BAKAUHENI PP,298.9166666666667,297.75,1672531739,1673061537,1673603692,0.0015479127735506136,0.0006226455789662996,-5.92602667,105.98212333,-5.926568254918032,105.98178708960796,-5.92891167,105.98117333,At Anchor,1403,1,2,1403,valid,"LINESTRING (105.98212333 -5.92602667, 105.98178708960796 -5.926568254918032,105.98117333 -5.92891167)",POINT (105.98178708960796 -5.926568254918032),7352799,MUFIDAH,525019468.0,Indonesia,Indonesia,F,5584,1427,Passenger/Ro-Ro Ship (Vehicles),imo match,1,36,IBP
16343,623530523817443327,525119106,9856593,0.0,0.0,Passenger,,2023-01-01 00:09:37,Indonesia,T-AIS,SORONG,47.7,47.05,1672531777,1672586207,1672701157,0.00013319423733667196,0.00039454338862681115,-0.858185,131.231435,-0.85809773421875,131.23188559921874,-0.85746,131.23208167,At Anchor,64,1,2,64,valid,"LINESTRING (131.231435 -0.858185, 131.23188559921874 -0.85809773421875,131.23208167 -0.85746)",POINT (131.23188559921874 -0.85809773421875),9856593,SABUK NUSANTARA 75,525119106.0,Indonesia,Indonesia,I,2091,722,General Cargo/Passenger Ship,imo match,1,92,SOQ
15706,624126151376797695,525101068,9828259,68.0,14.0,Passenger,,2023-01-01 00:10:01,Indonesia,T-AIS,KENDARI,27.55,27.2,1672531801,1672580542,1672629721,0.00017437560527682947,0.0003089035434817973,-3.97372167,122.62302833,-3.9739369999259266,122.62271328444444,-3.97365667,122.62267333,At Anchor,135,1,2,135,valid,"LINESTRING (122.62302833 -3.97372167, 122.62271328444444 -3.9739369999259266,122.62267333 -3.97365667)",POINT (122.62271328444444 -3.9739369999259266),9828259,SABUK NUSANTARA 78,525101068.0,Indonesia,Indonesia,I,2087,712,General Cargo/Passenger Ship,imo match,2,74,KDI
7319,624254507004887039,525101098,9833876,58.0,12.0,Passenger,,2023-01-01 00:14:17,Indonesia,S-AIS,MERAUKE,104.51666666666667,99.95,1672532057,1672642955,1672891895,1.2019197352537103e-05,1.0326807642732707e-05,-8.47777667,140.39050667,-8.47776818888889,140.39050327160493,-8.47779833,140.3905,Moored,81,1,2,81,valid,"LINESTRING (140.39050667 -8.47777667, 140.39050327160493 -8.47776818888889,140.3905 -8.47779833)",POINT (140.39050327160493 -8.47776818888889),9833876,SABUK NUSANTARA 114,525101098.0,Indonesia,Indonesia,I,1171,750,General Cargo/Passenger Ship,imo match,1,91,MKQ
19121,623960961368555519,525006222,8921755,134.0,21.0,Passenger,Passenger Ship,2023-01-01 00:16:08,Indonesia,T-AIS,MERAK<=>BAKAUHENI,12.766666666666667,11.25,1672532168,1672552986,1672572662,0.0006759616711984553,0.000182948975332836,-5.93434333,105.973735,-5.934701573703702,105.97337472203705,-5.93391667,105.97308167,At Anchor,54,2,2,54,valid,"LINESTRING (105.973735 -5.93434333, 105.97337472203705 -5.934701573703702,105.97308167 -5.93391667)",POINT (105.97337472203705 -5.934701573703702),8921755,VIRGO 18,525006222.0,Indonesia,Indonesia,F,9989,3359,Passenger/Ro-Ro Ship (Vehicles),imo match,1,36,IBP
9762,623276214399074303,563091500,9881330,42.0,10.0,Passenger,,2023-01-01 00:20:44,Singapore,S-AIS,BATAM CENTRE,1.0166666666666666,0.7666666666666667,1672532444,1672533428,1672535218,0.0015684643822966463,0.0014404889216258873,1.13166667,104.055,1.1325722233333333,104.05583166666668,1.13438333,104.057495,Under Way Using Engine,3,2,2,3,valid,"LINESTRING (104.055 1.13166667, 104.05583166666668 1.1325722233333333,104.057495 1.13438333)",POINT (104.05583166666668 1.1325722233333333),9881330,BASMA ALMELAHIA,,Saudi Arabia,Saudi Arabia,I,438,57,Passenger Ship,imo match,1,21,BUR
16869,623335841563049983,525002129,9204257,49.0,12.0,Passenger,Passenger Ship,2023-01-01 00:27:11,Indonesia,T-AIS,KARIANGAU - PNAJAM,2.066666666666667,1.3666666666666667,1672532831,1672535315,1672537800,0.00013316942010091186,0.0003264499876653476,-1.200925,116.81723,-1.200830835,116.816999165,-1.20073667,116.81676833,Under Way Using Engine,2,2,2,2,valid,"LINESTRING (116.81723 -1.200925, 116.816999165 -1.200830835,116.81676833 -1.20073667)",POINT (116.816999165 -1.200830835),9204257,SWARNA NALINI,525002129.0,Indonesia,Indonesia,F,323,58,Passenger/Ro-Ro Ship (Vehicles),imo match,1,64,BPN
24659,623960962151055359,525005232,8666147,87.0,12.0,Passenger,Passenger Ship,2023-01-01 00:27:47,Indonesia,T-AIS,MERAK,71.05,69.5,1672532867,1672663029,1672783063,0.0005447084057271752,0.0002636652957528212,-5.98069,105.95990333,-5.980385265,105.96047340922725,-5.979655,105.96052167,At Anchor,220,1,2,220,valid,"LINESTRING (105.95990333 -5.98069, 105.96047340922725 -5.980385265,105.96052167 -5.979655)",POINT (105.96047340922725 -5.980385265),8666147,PORTLINK V,525005232.0,Indonesia,Indonesia,I,5023,1363,Passenger/Ro-Ro Ship (Vehicles),imo match,1,36,IBP
13562,624118025256239103,525101036,9808077,44.0,9.0,Passenger,Passenger Ship,2023-01-01 00:36:03,Indonesia,T-AIS,ID MAK,80.85,80.55,1672533363,1672678232,1672823344,0.00023840803913073306,0.00024850084353753927,-5.12510667,119.37812,-5.125144269273743,119.37860711337989,-5.125265,119.37902667,At Anchor,357,1,2,358,valid,"LINESTRING (119.37812 -5.12510667, 119.37860711337989 -5.125144269273743,119.37902667 -5.125265)",POINT (119.37860711337989 -5.125144269273743),9808077,SABUK NUSANTARA 66,525101036.0,Indonesia,Indonesia,I,563,200,General Cargo/Passenger Ship,imo match,1,73,MAK
