,ShipName,mmsi,avg_lat,avg_lng,flag_country,vessel_type,mode_nav_status,obs_time,time_lower,time_upper,imo,RegisteredOwnerCountryofDomicile,RegisteredOwnerCountryOfRegistration
175800,HABCO LYRA,355641000,1.290234736842105,104.00626771842106,Panama,Cargo,At Anchor,2023-11-30 20:26:29,3,3,9456331,Indonesia,Indonesia
175801,NAVIGATOR ARIES,525015749,-7.198149118235294,112.71585392117646,Indonesia,Tanker,Moored,2023-11-30 20:27:10,4,3,9403762,Indonesia,Indonesia
175802,MARS,565121000,1.2894674986363635,104.05227394136364,Singapore,Tanker,Moored,2023-11-30 20:27:47,4,3,9661443,Singapore,Singapore
175803,SUNRISE SUMMER,352978147,1.2467066668421054,103.87400499947367,Panama,Cargo,At Anchor,2023-11-30 20:28:42,3,3,9913963,Japan,Japan
175804,MERATUS MANADO,525025049,3.2611920173684212,117.5920464036842,Indonesia,Cargo,At Anchor,2023-11-30 20:28:47,3,3,9154830,Indonesia,Indonesia
175805,AMIS UNICORN,636019822,1.2904374563157897,103.98973622789472,Liberia,Cargo,At Anchor,2023-11-30 20:29:17,3,3,9882279,Panama,Panama
175806,SARTIKA BARUNA,525012201,-5.871040802962965,106.02692639111109,Indonesia,Cargo,At Anchor,2023-11-30 20:33:44,3,3,9219898,Indonesia,Indonesia
175807,KOSMOS CITRINE,566480000,1.2408994824137929,103.89650844931035,Singapore,Tanker,Moored,2023-11-30 20:40:33,3,3,9650509,Singapore,Singapore
175808,PEACE GARDEN,352123000,0.5213397348000001,117.6740655984,Panama,Cargo,At Anchor,2023-11-30 20:42:21,2,1,9663336,Panama,Panama
175809,VERNAL,613003739,1.163303664,103.3191666646667,Cameroon,Tanker,At Anchor,2023-11-30 20:44:18,1,0,9207027,Seychelles,Seychelles
175810,KING ARTHUR 8,525003393,-7.183954760317459,112.7102080684127,Indonesia,Dredging,At Anchor,2023-11-30 20:46:04,3,3,8681525,Indonesia,Indonesia
175811,EVGENIA I,215049000,-7.825997590212768,109.05857191255319,Malta,Tanker,At Anchor,2023-11-30 20:55:41,2,2,9575943,Greece,Malta
175812,FEI PU,414165000,3.2455162360344834,117.5908325012069,China,Cargo,At Anchor,2023-11-30 21:01:45,2,2,9650470,"China, People's Republic Of","China, People's Republic Of"
175813,MAGIC THUNDER,538009377,-3.7590310058139527,114.42837208976745,Marshall Islands,Cargo,At Anchor,2023-11-30 21:02:53,3,2,9442407,Marshall Islands,Marshall Islands
175814,BALI GLORY,352002467,-3.7283333299999994,114.46999999999998,Panama,Other,At Anchor,2023-11-30 21:03:28,2,2,8359160,Indonesia,Indonesia
175815,TANTO LANCAR,525013040,-6.104929019411764,106.87431088235293,Indonesia,Cargo,Moored,2023-11-30 21:05:43,2,2,9786592,Indonesia,Indonesia
175816,GAS PATRICIA,525121008,-5.1398616675,119.367905208125,Indonesia,Tanker,At Anchor,2023-11-30 21:06:17,2,2,9202821,Indonesia,Indonesia
175817,RED DYNASTY,525121009,-7.750879998666664,109.01351666599999,Indonesia,Other,Moored,2023-11-30 21:17:41,3,2,9403944,Indonesia,Indonesia
175818,MARITIM NUSANTARA,525121042,1.092134443333333,104.17103555533332,Indonesia,Tanker,At Anchor,2023-11-30 21:19:39,2,2,9328314,Indonesia,Indonesia
175819,ETERNAL OIL I,525017094,-2.07833333,105.06500000000003,Indonesia,Tanker,Moored,2023-11-30 21:21:05,2,2,9160839,Indonesia,Indonesia
175820,GOLDEN JUBILEE,566474000,1.2464476192857143,103.87398381,Singapore,Tanker,Moored,2023-11-30 21:24:17,2,2,9655377,Singapore,Singapore
175821,DAMGRACHT,245955000,1.1162762292105264,104.17213197578947,Netherlands,Cargo,At Anchor,2023-11-30 21:25:34,2,2,9420784,Netherlands,Netherlands
175822,KAI EI MARU 15,563021100,1.2975660845,104.07547508349998,Singapore,Tanker,Moored,2023-11-30 21:31:20,3,2,9812353,Singapore,Singapore
175823,GOLDEN DAY,538009008,-3.76833333,114.42303030151514,Marshall Islands,Cargo,At Anchor,2023-11-30 21:33:00,2,2,9209128,"Hong Kong, China","Hong Kong, China"
175824,LUMOSO KARUNIA IX,525113018,-3.7483333299999995,114.50115740972223,Indonesia,Cargo,At Anchor,2023-11-30 21:35:22,2,2,9397884,Indonesia,Indonesia
175825,MARINE GAIA,566385000,1.2950122860000002,103.97677133600001,Singapore,Tanker,At Anchor,2023-11-30 21:36:25,4,2,9438315,Singapore,Singapore
175826,VERNAL,613003739,1.1651202872413793,103.3184386175862,Cameroon,Tanker,At Anchor,2023-11-30 21:50:20,2,2,9207027,Seychelles,Seychelles
175827,GLOBAL TOP,525020349,-1.2617071786111107,116.81183379833331,Indonesia,Tanker,At Anchor,2023-11-30 21:52:55,2,2,9112222,Indonesia,Indonesia
175828,VENUS,565122000,1.2793526391666667,104.00214514083332,Singapore,Tanker,Moored,2023-11-30 22:01:16,2,1,9661455,Singapore,Singapore
175829,SOECHI PRESTASI,525019132,-6.060103695652174,106.88841115652176,Indonesia,Tanker,At Anchor,2023-11-30 22:13:39,1,1,9036739,Indonesia,Indonesia
175830,P DELTA,525015323,3.79333333,98.71499999999999,Indonesia,Cargo,Moored,2023-11-30 22:14:21,3,1,8912730,United Arab Emirates,United Arab Emirates
175831,ENCHANT,566849000,1.3043763627272726,104.07489454454544,Singapore,Tanker,Moored,2023-11-30 22:20:26,2,1,9662667,Singapore,Singapore
175832,ANDHIKA PARAMESTI,525006390,-5.856946906785715,106.0876285717857,Indonesia,Cargo,At Anchor,2023-11-30 22:20:32,1,1,9139282,Indonesia,Indonesia
175833,SAFEEN AL SAFA,538010421,-7.2002433853125,112.72172719031249,Marshall Islands,Cargo,Moored,2023-11-30 22:21:01,2,1,9595670,Marshall Islands,Marshall Islands
175834,HIPPO,525010227,-1.3165079395238095,116.98444444333333,Indonesia,Tanker,At Anchor,2023-11-30 22:22:34,1,1,9134713,Indonesia,Indonesia
175835,PEACE GARDEN,352123000,0.5219000025,117.67540125000002,Panama,Cargo,At Anchor,2023-11-30 22:24:22,1,1,9663336,Panama,Panama
175836,BAHARI II,525022316,-8.46166667,117.37166667000004,Indonesia,Cargo,At Anchor,2023-11-30 22:27:17,1,1,8605428,Indonesia,Indonesia
175837,MARINE ZAMBEZI,563033100,1.2951584123809523,103.97362801428574,Singapore,Tanker,At Anchor,2023-11-30 22:41:05,1,1,9809887,Singapore,Singapore
