,ShipName,mmsi,avg_lat,avg_lng,flag_country,vessel_type,mode_nav_status,obs_time,time_lower,time_upper,imo,RegisteredOwnerCountryofDomicile,RegisteredOwnerCountryOfRegistration
34803,JAMBO IX,525100113,-8.14535778,114.4030178,Indonesia,Passenger,Under Way Using Engine,19/10/2023 18:30,1.2,0.666666667,9801940,Indonesia,Indonesia
34804,MENGGALA,525019467,-5.910078333,105.9808094,Indonesia,Passenger,Under Way Using Engine,19/10/2023 18:30,0.75,0.166666667,8612885,Indonesia,Indonesia
34805,DHARMA KARTIKA 9,525005194,-1.272353888,116.8054769,Indonesia,Passenger,Moored,19/10/2023 18:32,2.35,1.6,9140023,Indonesia,Indonesia
34806,LEUSER,525005003,-8.493888887,119.8738889,Indonesia,Passenger,Under Way Using Engine,19/10/2023 18:34,4.45,4.3,9032159,Indonesia,Indonesia
34807,NEOMI,525200924,-5.925,105.9916667,Indonesia,Passenger,Underway Sailing,19/10/2023 18:47,1.033333333,0.933333333,9836012,Indonesia,Indonesia
34808,TRI SAKTI ADINDA,525018027,-8.150125,114.4109883,Indonesia,Passenger,Under Way Using Engine,19/10/2023 18:48,0.683333333,0,8736899,Indonesia,Indonesia
34809,AGUNG SAMUDERA XVIII,525003322,-8.148333335,114.4108333,Indonesia,Passenger,Moored,19/10/2023 18:55,0.8,0.15,9772424,Indonesia,Indonesia
34810,TATAMAILAU,525005012,-5.633177412,132.7399626,Indonesia,Passenger,Moored,19/10/2023 19:10,4.066666667,4,8915639,Indonesia,Indonesia
34811,MUNIC 9,525200126,-5.91,105.9866667,Indonesia,Passenger,Under Way Using Engine,19/10/2023 19:16,0.6,0,9835991,Indonesia,Indonesia
34812,MUSTHIKA KENCANA,525015381,-5.955,105.9866667,Indonesia,Passenger,Underway Sailing,19/10/2023 19:16,46.03333333,0.05,9042881,Indonesia,Indonesia
34813,AGUNG SAMUDERA XVIII,525003322,-8.145176053,114.4016725,Indonesia,Passenger,Moored,19/10/2023 19:43,1.483333333,0.883333333,9772424,Indonesia,Indonesia
34814,SUMBER BERKAT II,525200003,-8.143677777,114.40345,Indonesia,Passenger,Under Way Using Engine,19/10/2023 19:45,0.966666667,0.633333333,9843613,Indonesia,Indonesia
34815,GUNUNG DEMPO,525005054,-1.18727,136.0773417,Indonesia,Passenger,Underway Sailing,19/10/2023 20:14,2.066666667,0.083333333,9401324,Indonesia,Indonesia
34816,SABUK NUSANTARA 106,525101082,-3.698095835,128.1625992,Indonesia,Passenger,Under Way Using Engine,19/10/2023 20:28,26.25,0.066666667,9799692,Indonesia,Indonesia
34817,RENY II,273000000,-8.141500557,114.4034233,Russian Federation,Passenger,Under Way Using Engine,19/10/2023 20:30,1.216666667,0.516666667,7204643,Indonesia,Indonesia
34818,SMS SWAKARYA,525019060,-8.16263333,114.4314817,Indonesia,Passenger,Under Way Using Engine,19/10/2023 20:31,0.5,0,8981573,Indonesia,Indonesia
34819,HERITAGE ADVENTURER,255806208,-1.168448181,136.035461,Madeira,Passenger,At Anchor,19/10/2023 20:32,6.75,6.666666667,9000168,Germany,Germany
34820,TRIMAS LAILA,525018455,-8.73166667,116.0733333,Indonesia,Passenger,Underway Sailing,19/10/2023 20:45,0.933333333,0,8666422,Indonesia,Indonesia
34821,DHARMA KARTIKA 9,525005194,-1.256543012,116.7959097,Indonesia,Passenger,At Anchor,19/10/2023 20:47,39.16666667,38.36666667,9140023,Indonesia,Indonesia
34822,DHARMA RUCITRA,525005324,-8.160491665,114.437115,Indonesia,Passenger,Under Way Using Engine,19/10/2023 20:53,0.833333333,0.533333333,6502945,Indonesia,Indonesia
34823,TRISNA DWITYA,525016494,-8.14112,114.4080583,Indonesia,Passenger,Under Way Using Engine,19/10/2023 20:57,1,0,7397294,Indonesia,Indonesia
34824,TRIMAS KANAYA,525007392,-5.919166665,105.965,Indonesia,Passenger,Underway Sailing,19/10/2023 21:08,0.5,0.05,9016715,Indonesia,Indonesia
34825,SUMBER BERKAT II,525200003,-8.159444443,114.4344444,Indonesia,Passenger,Under Way Using Engine,19/10/2023 21:11,0.7,0.65,9843613,Indonesia,Indonesia
34826,AGUNG SAMUDERA XVIII,525003322,-8.15166667,114.4316667,Indonesia,Passenger,Moored,19/10/2023 21:24,0.516666667,0.25,9772424,Indonesia,Indonesia
34827,SALVATORE I,525010222,-5.92979333,105.99409,Indonesia,Passenger,Underway Sailing,19/10/2023 21:40,1.183333333,0,9454060,Colombia,Colombia
34828,RAPUTRA JAYA 2888,525100600,-5.933021667,105.9563939,Indonesia,Passenger,Under Way Using Engine,19/10/2023 21:49,1.033333333,0.283333333,9871646,Indonesia,Indonesia
34829,AGUNG SAMUDERA XVIII,525003322,-8.160166097,114.4371114,Indonesia,Passenger,Moored,19/10/2023 22:06,3.5,2.8,9772424,Indonesia,Indonesia
34830,SABUK NUSANTARA 97,525200047,4.147517777,117.66588,Indonesia,Passenger,Under Way Using Engine,19/10/2023 22:06,4.6,4.5,9821184,Indonesia,Indonesia
34831,PERKASA PRIMA 05,525005368,-8.14552333,114.40412,Indonesia,Passenger,Under Way Using Engine,19/10/2023 22:11,1.483333333,0.3,8997223,Indonesia,Indonesia
34832,DHARMA RUCITRA,525005324,-8.143065,114.4036617,Indonesia,Passenger,Under Way Using Engine,19/10/2023 22:16,0.883333333,0,6502945,Indonesia,Indonesia
34833,SABUK NUSANTARA 100,525101058,-1.185855,136.0752383,Indonesia,Passenger,Underway Sailing,19/10/2023 22:17,5.016666667,0.016666667,9837858,Indonesia,Indonesia
34834,GOLDEN IMAGE,563561000,1.133914034,104.0549293,Singapore,Passenger,At Anchor,19/10/2023 22:26,216.0666667,193.0666667,9087166,Singapore,Singapore
34835,TRIMAS KANAYA,525007392,-5.92576833,105.9927233,Indonesia,Passenger,Under Way Using Engine,19/10/2023 22:27,1.316666667,0,9016715,Indonesia,Indonesia
34836,TUNU PRATAMA JAYA 3888,525100465,-8.15833333,114.4358333,Indonesia,Passenger,Under Way Using Engine,19/10/2023 22:36,1.316666667,1.2,8984381,Indonesia,Indonesia
34837,PANGRANGO,525005018,-6.7139905,108.5732963,Indonesia,Passenger,Moored,19/10/2023 22:58,625.7666667,3.6,9072123,Indonesia,Indonesia
34838,KIRANA II,525015377,-5.96561697,105.9630905,Indonesia,Passenger,At Anchor,19/10/2023 23:21,5.383333333,3.95,7320186,Indonesia,Indonesia
34839,JATRA III,525019293,-5.93664,105.99788,Indonesia,Passenger,Under Way Using Engine,19/10/2023 23:28,1.166666667,0,8503694,Indonesia,Indonesia
34840,SABUK NUSANTARA 52,525001124,-3.90583583,102.3035367,Indonesia,Passenger,Under Way Using Engine,19/10/2023 23:38,84.56666667,84.21666667,9765263,Indonesia,Indonesia
34841,SURYA AYLA,525401189,-8.1355075,114.4054769,Indonesia,Passenger,Under Way Using Engine,19/10/2023 23:48,11.8,0.3,9939711,Indonesia,Indonesia
34842,CAITLYN 7,525200335,-5.92514375,105.9913175,Indonesia,Passenger,Underway Sailing,19/10/2023 23:54,1.2,1.1,9836000,Indonesia,Indonesia
34843,SABUK NUSANTARA 103,525101077,-7.9825,131.2891667,Indonesia,Passenger,Under Way Using Engine,20/10/2023 00:05,27.75,0.05,9813773,Indonesia,Indonesia
34844,WILIS,525005038,-8.859166665,121.6641667,Indonesia,Passenger,Under Way Using Engine,20/10/2023 00:06,3.35,0.05,9157210,Indonesia,Indonesia
34845,SABUK NUSANTARA 42,525001103,-1.18646625,136.0758167,Indonesia,Passenger,Under Way Using Engine,20/10/2023 00:10,1.8,1.7,8689022,Indonesia,Indonesia
34846,SURYA AYLA,525401189,-8.140650835,114.4081329,Indonesia,Passenger,Under Way Using Engine,20/10/2023 00:18,0.566666667,0.416666667,9939711,Indonesia,Indonesia
34847,SUMBER BERKAT II,525200003,-8.160833335,114.4333333,Indonesia,Passenger,Under Way Using Engine,20/10/2023 00:18,0.516666667,0.45,9843613,Indonesia,Indonesia
34848,SRIKANDI LINE,525015268,-6.104908335,106.8832817,Indonesia,Passenger,Under Way Using Engine,20/10/2023 00:31,22.26666667,0.016666667,8216825,Indonesia,Indonesia
34849,DHARMA FERRY I,525005322,-8.13836667,114.4027642,Indonesia,Passenger,Under Way Using Engine,20/10/2023 00:31,24.6,24.25,8610332,Indonesia,Indonesia
34850,LIPUTAN XII,525100880,-8.16027417,114.438075,Indonesia,Passenger,Under Way Using Engine,20/10/2023 00:37,3.5,0.366666667,8524272,Indonesia,Indonesia
34851,SURYA AYLA,525401189,-8.142222223,114.4027778,Indonesia,Passenger,Under Way Using Engine,20/10/2023 00:53,0.633333333,0.6,9939711,Indonesia,Indonesia
34852,WIRA NAULI,525201708,1.30498366,97.61001634,Indonesia,Passenger,At Anchor,20/10/2023 00:56,22.31666667,14.41666667,9921051,Indonesia,Indonesia
34853,SABUK NUSANTARA 80,525101090,-0.019575521,109.3374559,Indonesia,Passenger,Moored,20/10/2023 00:59,10.68333333,9.833333333,9848429,Indonesia,Indonesia
34854,SABUK NUSANTARA 98,525101083,-1.204572915,136.091255,Indonesia,Passenger,Under Way Using Engine,20/10/2023 01:02,0.783333333,0.316666667,9799460,Indonesia,Indonesia
34855,TUNU PRATAMA JAYA 3888,525100465,-8.1485275,114.4032933,Indonesia,Passenger,Under Way Using Engine,20/10/2023 01:06,26.36666667,26.15,8984381,Indonesia,Indonesia
34856,SABUK NUSANTARA 45,525001118,-3.685913697,128.1221649,Indonesia,Passenger,Moored,20/10/2023 01:12,653.4833333,437.7666667,8349880,Indonesia,Indonesia
34857,BARAU,525019443,1.06,104.2183333,Indonesia,Passenger,Underway Sailing,20/10/2023 01:13,1.283333333,0,8994544,Indonesia,Indonesia
34858,GOROPA,525019301,-1.200405,116.8173358,Indonesia,Passenger,Underway Sailing,20/10/2023 01:14,0.516666667,0.066666667,8874744,Indonesia,Indonesia
34859,SABUK NUSANTARA 77,525101044,0.505833335,123.0616667,Indonesia,Passenger,Under Way Using Engine,20/10/2023 01:15,37.86666667,37.7,9862267,Indonesia,Indonesia
34860,GARDA MARITIM 7,525201927,0.759587869,127.3766372,Indonesia,Passenger,At Anchor,20/10/2023 01:27,3.55,2.85,9926879,Indonesia,Indonesia
34861,SUMBER BERKAT II,525200003,-8.123799997,114.4029214,Indonesia,Passenger,Under Way Using Engine,20/10/2023 01:30,1.15,1.033333333,9843613,Indonesia,Indonesia
34862,AGUNG SAMUDERA XVIII,525003322,-8.145131025,114.401544,Indonesia,Passenger,Moored,20/10/2023 01:39,1.083333333,0.6,9772424,Indonesia,Indonesia
34863,DHARMA RUCITRA 8,525301327,-7.196775166,112.7301818,Indonesia,Passenger,Moored,20/10/2023 01:40,5.766666667,4.866666667,9333735,Indonesia,Indonesia
34864,PANCAR INDAH,525012198,-8.144624443,114.4023903,Indonesia,Passenger,Underway Sailing,20/10/2023 01:49,1.166666667,1.116666667,8670772,Indonesia,Indonesia
34865,NAPAN WAINAMI,525010133,-2.72833333,134.5033333,Indonesia,Passenger,Under Way Using Engine,20/10/2023 01:51,14.45,0,9641039,Indonesia,Indonesia
34866,SABUK NUSANTARA 42,525001103,-1.184670553,136.0645511,Indonesia,Passenger,Under Way Using Engine,20/10/2023 02:01,1.05,0.95,8689022,Indonesia,Indonesia
34867,TILONGKABILA,525005016,-8.4475,118.7108333,Indonesia,Passenger,Under Way Using Engine,20/10/2023 02:07,4.45,4.3,9102760,Indonesia,Indonesia
34868,ADITHYA,525018438,-4.01166667,119.6183333,Indonesia,Passenger,Under Way Using Engine,20/10/2023 02:15,6.683333333,0.05,8508694,Indonesia,Indonesia
34869,MENGGALA,525019467,-5.92436417,105.992255,Indonesia,Passenger,Under Way Using Engine,20/10/2023 02:16,1.4,1.05,8612885,Indonesia,Indonesia
34870,TRISNA DWITYA,525016494,-8.16027,114.4377967,Indonesia,Passenger,Under Way Using Engine,20/10/2023 02:21,2.233333333,0,7397294,Indonesia,Indonesia
34871,DLN BATU LAYAR,525900940,-7.195191667,112.73181,Indonesia,Passenger,Underway Sailing,20/10/2023 02:32,8.05,7.966666667,9895056,Indonesia,Indonesia
34872,SWARNA BAHTERA,525002125,-1.271897735,116.8057361,Indonesia,Passenger,Moored,20/10/2023 02:44,106.75,84.56666667,8905165,Indonesia,Indonesia
34873,MARINA PRATAMA,525002076,-8.121776645,114.4032359,Indonesia,Passenger,At Anchor,20/10/2023 02:55,5.95,5.766666667,7231438,Indonesia,Indonesia
34874,AGUNG SAMUDERA XVIII,525003322,-8.159996482,114.4369188,Indonesia,Passenger,Moored,20/10/2023 03:02,1.583333333,1.05,9772424,Indonesia,Indonesia
34875,OCEAN DRAGON 6,525200211,1.035,104.1333333,Indonesia,Passenger,Under Way Using Engine,20/10/2023 03:07,1.15,0.65,9859492,Indonesia,Indonesia
34876,SUMBER BERKAT II,525200003,-8.123441518,114.4018478,Indonesia,Passenger,At Anchor,20/10/2023 03:13,6.85,6.333333333,9843613,Indonesia,Indonesia
34877,PERKASA PRIMA 05,525005368,-8.139857083,114.4032467,Indonesia,Passenger,Under Way Using Engine,20/10/2023 03:21,0.583333333,0.35,8997223,Indonesia,Indonesia
34878,ALCOR,563061400,1.123135415,103.9235737,Singapore,Passenger,Under Way Using Engine,20/10/2023 03:31,2.766666667,2.7,9771585,Saudi Arabia,Saudi Arabia
34879,WAVEMASTER 8,563026600,1.124155,103.9240511,Singapore,Passenger,Under Way Using Engine,20/10/2023 03:34,20.65,19.46666667,9268459,Singapore,Singapore
34880,SALVATORE I,525010222,-5.928698887,105.9929672,Indonesia,Passenger,Underway Sailing,20/10/2023 03:45,1.2,1.066666667,9454060,Colombia,Colombia
34881,MUNIC 9,525200126,-5.9251625,105.9916271,Indonesia,Passenger,Under Way Using Engine,20/10/2023 03:46,1.416666667,0.1,9835991,Indonesia,Indonesia
34882,PANCAR INDAH,525012198,-8.158888887,114.4355556,Indonesia,Passenger,Underway Sailing,20/10/2023 03:54,1.066666667,0.983333333,8670772,Indonesia,Indonesia
34883,AGUNG SAMUDRA IX,525018104,-8.16033833,114.4381233,Indonesia,Passenger,Under Way Using Engine,20/10/2023 04:16,1.05,0,9669354,Indonesia,Indonesia
34884,KIRANA II,525015377,-5.931965557,105.9964378,Indonesia,Passenger,At Anchor,20/10/2023 04:30,1.516666667,1.15,7320186,Indonesia,Indonesia
34885,LIPUTAN XII,525100880,-8.156175,114.4332183,Indonesia,Passenger,Under Way Using Engine,20/10/2023 04:36,1.266666667,0,8524272,Indonesia,Indonesia
34886,TIGA ANUGRAH,525010269,-8.13980167,114.404515,Indonesia,Passenger,Under Way Using Engine,20/10/2023 04:36,1.166666667,0,8840860,Indonesia,Indonesia
34887,PEACOCK SATU,525004085,-1.2111,116.7837367,Indonesia,Passenger,Under Way Using Engine,20/10/2023 04:38,3.7,2.516666667,9505766,Indonesia,Indonesia
34888,TRISNA DWITYA,525016494,-8.1577825,114.4337142,Indonesia,Passenger,Under Way Using Engine,20/10/2023 04:44,1.25,0.166666667,7397294,Indonesia,Indonesia
34889,GARDA MARITIM 3,525101263,-10.21611111,123.5166667,Indonesia,Passenger,Underway Sailing,20/10/2023 04:44,3.4,3.25,9910686,Indonesia,Indonesia
34890,KINERET,525024105,-1.2409525,116.7784992,Indonesia,Passenger,Under Way Using Engine,20/10/2023 04:46,1.266666667,0.666666667,7507459,Indonesia,Indonesia
34891,AGUNG SAMUDERA XVIII,525003322,-8.145051817,114.4016671,Indonesia,Passenger,Moored,20/10/2023 05:05,1.283333333,0.65,9772424,Indonesia,Indonesia
34892,TRIMAS KANAYA,525007392,-5.924605,105.9914917,Indonesia,Passenger,Underway Sailing,20/10/2023 05:14,1.35,1.266666667,9016715,Indonesia,Indonesia
34893,PANCAR INDAH,525012198,-8.146077083,114.4042008,Indonesia,Passenger,Underway Sailing,20/10/2023 05:24,1.083333333,0.916666667,8670772,Indonesia,Indonesia
34894,ULIN FERRY,525100429,-1.239106665,116.7801525,Indonesia,Passenger,Under Way Using Engine,20/10/2023 05:24,1.35,1,9080261,Indonesia,Indonesia
34895,OCEAN DRAGON 6,525200211,0.931656447,104.4383159,Indonesia,Passenger,Under Way Using Engine,20/10/2023 05:46,2.85,2.266666667,9859492,Indonesia,Indonesia
34896,AGUNG SAMUDRA IX,525018104,-8.14599833,114.4019583,Indonesia,Passenger,Under Way Using Engine,20/10/2023 05:49,1,0,9669354,Indonesia,Indonesia
34897,SINDO 7,563921000,1.12428667,103.9246033,Singapore,Passenger,Underway Sailing,20/10/2023 06:19,4.133333333,0,9042166,Singapore,Singapore
34898,LEGUNDI,525001125,-5.934166665,105.9975,Indonesia,Passenger,Under Way Using Engine,20/10/2023 06:33,1.283333333,1.2,9765665,Indonesia,Indonesia
34899,LEUSER,525005003,-8.445,118.7091667,Indonesia,Passenger,Under Way Using Engine,20/10/2023 06:34,1.8,1.55,9032159,Indonesia,Indonesia
34900,SMS SWAKARYA,525019060,-8.159695,114.4374967,Indonesia,Passenger,Under Way Using Engine,20/10/2023 06:35,0.85,0,8981573,Indonesia,Indonesia
34901,MAJESTIC KAWANUA,525018402,1.687362602,101.4529059,Indonesia,Passenger,Moored,20/10/2023 06:42,18.2,17.8,9757814,Indonesia,Indonesia
34902,GORANGO,525016591,0.76301,127.375725,Indonesia,Passenger,Under Way Using Engine,20/10/2023 06:43,1.016666667,0,8647270,Indonesia,Indonesia
34903,AGUNG SAMUDERA XVIII,525003322,-8.160071875,114.4368675,Indonesia,Passenger,Moored,20/10/2023 06:46,1.083333333,0.5,9772424,Indonesia,Indonesia
34904,BARAU,525019443,1.03166667,104.1316667,Indonesia,Passenger,Underway Sailing,20/10/2023 07:11,0.5,0,8994544,Indonesia,Indonesia
34905,PANCAR INDAH,525012198,-8.15901833,114.4364433,Indonesia,Passenger,Underway Sailing,20/10/2023 07:11,0.816666667,0.7,8670772,Indonesia,Indonesia
34906,HERITAGE ADVENTURER,255806208,-1.308463094,136.2148867,Madeira,Passenger,Under Way Using Engine,20/10/2023 07:12,2.866666667,0.85,9000168,Germany,Germany
34907,DHARMA FERRY,525015930,-1.2416725,116.7800917,Indonesia,Passenger,Under Way Using Engine,20/10/2023 07:26,0.85,0.166666667,8300286,Indonesia,Indonesia
