,h3_index_int,mmsi,imo,length,width,vessel_type,vessel_type_main,obs_time,flag_country,source,destination,time_lower,time_upper,unix_trigger,avg_unix,unix_disarm,sd_lat,sd_lng,trigger_lat,trigger_lng,avg_lat,avg_lng,disarm_lat,disarm_lng,mode_nav_status,obs_nav_status,state_initial,state_final,obs_count,is_valid,geom_wkt,wkt_avg_pt,imo_ihs,ShipName,mmsi_ihs,RegisteredOwnerCountryOfRegistration,RegisteredOwnerCountryofDomicile,Tonnagesystem69convention,GrossTonnage,Deadweight,ShiptypeLevel5,shipSource,Hirarki_1,Prov_ID,Kode
5841,624129377550041087,525021167,8839316,63.0,12.0,Passenger,,2023-10-08 10:46:18,Indonesia,S-AIS,LEMBAR,2.0833333333333335,0.0,1696761978,1696761978,1696761978,0.0,0.0,-8.73,116.07666667,-8.73,116.07666667,-8.73,116.07666667,Underway Sailing,1,2,2,1,invalid,POINT (116.07666667 -8.73),POINT (116.07666667 -8.73),8839316,RHAMA GIRI NUSA,525021167.0,Indonesia,Indonesia,I,1494,230,Passenger Ship,imo match,2,52,LMR
11859,623960961380581375,525024295,8705747,132.0,21.0,Passenger,Passenger Ship,2023-10-08 11:07:18,Indonesia,T-AIS,MERAK-BAKAUHENI-(PP),65.36666666666666,64.41666666666667,1696763238,1696879566,1696995134,0.0004284380773484581,0.00026269668347061293,-5.931185,105.97846667,-5.93111861043077,105.97843238461536,-5.93105,105.97814333,At Anchor,325,2,2,325,valid,"LINESTRING (105.97846667 -5.931185, 105.97843238461536 -5.93111861043077,105.97814333 -5.93105)",POINT (105.97843238461536 -5.93111861043077),8705747,SMS SAGITA,525024295.0,Indonesia,Indonesia,F,5373,1506,Passenger/Ro-Ro Ship (Vehicles),imo match,1,36,IBP
11514,623986077539532799,525300917,9035125,186.0,26.0,Passenger,,2023-10-08 11:48:33,Indonesia,T-AIS,SBY,7.233333333333333,0.016666666666666666,1696765713,1696765764,1696765815,0.0004501936743777293,1.767766953527482e-05,-7.19566667,112.73243333,-7.195348335,112.73242083,-7.19503,112.73240833,Under Way Using Engine,2,2,2,2,valid,"LINESTRING (112.73243333 -7.19566667, 112.73242083 -7.195348335,112.73240833 -7.19503)",POINT (112.73242083 -7.195348335),9035125,DHARMA KENCANA 7,525300917.0,Indonesia,Indonesia,I,27975,5790,Passenger/Ro-Ro Ship (Vehicles),imo match,1,35,SUB
14092,623276214399074303,564884000,9035735,24.0,6.0,Passenger,Passenger Ship,2023-10-08 12:17:42,Singapore,T-AIS,BATAM-SGP(RTRN),36.21666666666667,35.7,1696767462,1696837594,1696895981,0.001624742801534604,0.0006231754111234608,1.13163833,104.05490667,1.1335988089795919,104.05494846897957,1.13517333,104.05743,Moored,48,2,2,49,valid,"LINESTRING (104.05490667 1.13163833, 104.05494846897957 1.1335988089795919,104.05743 1.13517333)",POINT (104.05494846897957 1.1335988089795919),9035735,JET RAIDER,564884000.0,Singapore,Singapore,I,255,50,Passenger Ship,imo match,1,21,BUR
357,623960961378287615,525022300,9066722,99.0,16.0,Passenger,Passenger Ship,2023-10-08 12:33:54,Indonesia,T-AIS,MERAK,0.6666666666666666,0.0,1696768434,1696768444,1696768454,2.121320343542138e-05,7.896261425188884e-05,-5.93530333,105.96933833,-5.935318329999999,105.969394165,-5.93533333,105.96945,Under Way Using Engine,2,2,2,2,valid,"LINESTRING (105.96933833 -5.93530333, 105.969394165 -5.935318329999999,105.96945 -5.93533333)",POINT (105.969394165 -5.935318329999999),9066722,SUKI 2,525022300.0,Indonesia,Indonesia,I,5008,1064,Passenger/Ro-Ro Ship (Vehicles),imo match,1,36,IBP
10821,623514246754009087,525101083,9799460,70.0,10.0,Passenger,,2023-10-08 12:55:32,Indonesia,T-AIS,ORANSBARI,2.8,0.03333333333333333,1696769732,1696769795,1696769858,3.652913631610335e-05,0.001087763574694403,-1.18671833,136.076795,-1.1866925,136.077564165,-1.18666667,136.07833333,Under Way Using Engine,2,2,2,2,valid,"LINESTRING (136.076795 -1.18671833, 136.077564165 -1.1866925,136.07833333 -1.18666667)",POINT (136.077564165 -1.1866925),9799460,SABUK NUSANTARA 98,525101083.0,Indonesia,Indonesia,I,1259,455,General Cargo/Passenger Ship,imo match,2,91,BIK
21334,623276406721347583,525201708,9921051,93.0,18.0,Passenger,,2023-10-08 13:26:38,Indonesia,S-AIS,SIBOLGA,10.833333333333334,2.183333333333333,1696771598,1696775917,1696779466,0.0003042890925638408,2.890758581290855e-14,1.72666667,98.78666667,1.7267222253333332,98.78666667000003,1.72833333,98.78666667,At Anchor,30,2,2,30,valid,"LINESTRING (98.78666667 1.72666667, 98.78666667000003 1.7267222253333332,98.78666667 1.72833333)",POINT (98.78666667000003 1.7267222253333332),9921051,WIRA NAULI,525201708.0,Indonesia,Indonesia,I,2923,2567,Passenger/Ro-Ro Ship (Vehicles),imo match,2,12,SLG
28749,623960961468661759,525015868,8220060,119.0,20.0,Passenger,Passenger Ship,2023-10-08 13:28:10,Indonesia,T-AIS,BAKAUHENI-MERAK,1.85,1.5666666666666667,1696771690,1696774540,1696777390,0.0004124765986692298,0.000942813755618765,-5.92404333,105.99204667,-5.923751665,105.99137999999999,-5.92346,105.99071333,Under Way Using Engine,2,2,2,2,valid,"LINESTRING (105.99204667 -5.92404333, 105.99137999999999 -5.923751665,105.99071333 -5.92346)",POINT (105.99137999999999 -5.923751665),8220060,KIRANA IX,525015868.0,Indonesia,Indonesia,I,9168,1309,Passenger/Ro-Ro Ship (Vehicles),imo match,1,36,IBP
9542,623337134703116287,525015376,8017671,105.0,16.0,Passenger,Ro Ro Cargo Ship,2023-10-08 13:40:39,Indonesia,S-AIS,PAREPARE,14.316666666666666,0.1,1696772439,1696772647,1696772801,0.00039406870876157674,0.0009631689565644109,-1.27,116.805,-1.2701670825,116.8045808325,-1.27,116.80333333,Under Way Using Engine,4,2,2,4,valid,"LINESTRING (116.805 -1.27, 116.8045808325 -1.2701670825,116.80333333 -1.27)",POINT (116.8045808325 -1.2701670825),8017671,KIRANA,525015376.0,Indonesia,Indonesia,I,5299,3161,Passenger/Ro-Ro Ship (Vehicles),imo match,1,64,BPN
5316,624129377550041087,525018455,8666422,86.0,16.0,Passenger,Passenger Ship,2023-10-08 13:47:56,Indonesia,S-AIS,LEMBAR,1.1833333333333333,0.8333333333333334,1696772876,1696774397,1696775918,0.0,0.0,-8.73,116.07666667,-8.73,116.07666667,-8.73,116.07666667,Underway Sailing,2,2,2,2,valid,"LINESTRING (116.07666667 -8.73, 116.07666667 -8.73,116.07666667 -8.73)",POINT (116.07666667 -8.73),8666422,TRIMAS LAILA,525018455.0,Indonesia,Indonesia,I,3006,626,Passenger/Ro-Ro Ship (Vehicles),imo match,2,52,LMR
25320,623960961367572479,525022300,9066722,99.0,16.0,Passenger,Passenger Ship,2023-10-08 14:54:11,Indonesia,T-AIS,MERAK,60.81666666666667,59.5,1696776851,1696883338,1696991057,0.0002255176440548966,0.00013763399677613663,-5.934335,105.97151167,-5.934385790034843,105.9717871771777,-5.93379167,105.972,At Anchor,287,2,2,287,valid,"LINESTRING (105.97151167 -5.934335, 105.9717871771777 -5.934385790034843,105.972 -5.93379167)",POINT (105.9717871771777 -5.934385790034843),9066722,SUKI 2,525022300.0,Indonesia,Indonesia,I,5008,1064,Passenger/Ro-Ro Ship (Vehicles),imo match,1,36,IBP
2432,623960961476395007,525016714,7910917,130.0,22.0,Passenger,Passenger Ship,2023-10-08 15:22:50,Indonesia,T-AIS,MERAK / BAKAUHENI,1.55,0.0,1696778570,1696778570,1696778570,0.0,0.0,-5.93563167,105.998645,-5.93563167,105.998645,-5.93563167,105.998645,Under Way Using Engine,1,2,2,1,invalid,POINT (105.998645 -5.93563167),POINT (105.998645 -5.93563167),7910917,PORT LINK,525016714.0,Indonesia,Indonesia,I,12674,2206,Passenger/Ro-Ro Ship (Vehicles),imo match,1,36,IBP
3424,623986077531799551,525501474,9162162,153.0,25.0,Passenger,,2023-10-08 15:28:48,Indonesia,S-AIS,SURABAYA^_^,5.2,5.1,1696778928,1696788061,1696797307,0.0004076623568899129,0.002061883668852631,-7.195,112.73,-7.1950504175,112.7313937475,-7.19460667,112.72926333,Under Way Using Engine,4,2,2,4,valid,"LINESTRING (112.73 -7.195, 112.7313937475 -7.1950504175,112.72926333 -7.19460667)",POINT (112.7313937475 -7.1950504175),9162162,DHARMA KARTIKA 2,525501474.0,Indonesia,Indonesia,I,20876,3648,Passenger/Ro-Ro Ship (Vehicles),imo match,1,35,SUB
2548,623960961476395007,525001136,9759733,110.0,20.0,Passenger,General Cargo Ship,2023-10-08 16:47:54,Indonesia,S-AIS,BAKAUHENI,1.7166666666666666,1.65,1696783674,1696788027,1696789664,0.0004937167710336449,0.0011740165947828614,-5.935,105.99833333,-5.93503625,105.99748916749999,-5.93447,105.99630667,Under Way Using Engine,4,2,2,4,valid,"LINESTRING (105.99833333 -5.935, 105.99748916749999 -5.93503625,105.99630667 -5.93447)",POINT (105.99748916749999 -5.93503625),9759733,BATU MANDI,525001136.0,Indonesia,Indonesia,I,5553,2426,General Cargo/Passenger Ship,imo match,1,36,IBP
10261,623960961468170239,525019409,7909061,120.0,18.0,Passenger,Passenger Ship,2023-10-08 17:19:46,Indonesia,T-AIS,MERAK - BAKAUHENI,1.5166666666666666,0.0,1696785586,1696785586,1696785586,0.0,0.0,-5.92623333,105.99317833,-5.92623333,105.99317833,-5.92623333,105.99317833,Under Way Using Engine,1,2,2,1,invalid,POINT (105.99317833 -5.92623333),POINT (105.99317833 -5.92623333),7909061,DUTA BANTEN,525019409.0,Indonesia,Indonesia,I,8011,1845,Passenger/Ro-Ro Ship (Vehicles),imo match,1,36,IBP
28097,624100705937489919,525101043,9813759,70.0,20.0,Passenger,,2023-10-08 17:49:06,Indonesia,S-AIS,KUPANG,17.8,17.55,1696787346,1696818948,1696850551,0.0023570202469327278,0.0,-10.195,123.525,-10.193333335,123.525,-10.19166667,123.525,Under Way Using Engine,2,2,2,2,valid,"LINESTRING (123.525 -10.195, 123.525 -10.193333335,123.525 -10.19166667)",POINT (123.525 -10.193333335),9813759,SABUK NUSANTARA 101,525101043.0,Indonesia,Indonesia,I,1258,505,General Cargo/Passenger Ship,imo match,1,53,TQP
10563,624129268394426367,525018455,8666422,86.0,16.0,Passenger,Passenger Ship,2023-10-08 18:55:57,Indonesia,S-AIS,LEMBAR,4.183333333333334,0.0,1696791357,1696791357,1696791357,0.0,0.0,-8.74166667,116.055,-8.74166667,116.055,-8.74166667,116.055,Underway Sailing,1,2,2,1,invalid,POINT (116.055 -8.74166667),POINT (116.055 -8.74166667),8666422,TRIMAS LAILA,525018455.0,Indonesia,Indonesia,I,3006,626,Passenger/Ro-Ro Ship (Vehicles),imo match,2,52,LMR
11861,623960961436450815,525002061,6725523,94.0,16.0,Passenger,Passenger Ship,2023-10-08 19:19:30,Indonesia,T-AIS,MERAK-BAKAUHENI,0.7,0.26666666666666666,1696792770,1696793253,1696793770,0.00048212309209195276,0.000891788356036667,-5.94613167,105.98211333,-5.945276905714286,105.98128381000001,-5.945,105.98,At Anchor,7,2,2,7,valid,"LINESTRING (105.98211333 -5.94613167, 105.98128381000001 -5.945276905714286,105.98 -5.945)",POINT (105.98128381000001 -5.945276905714286),6725523,TITIAN MURNI,525002061.0,Indonesia,Indonesia,F,3614,1101,Passenger/Ro-Ro Ship (Vehicles/Rail),imo match,1,36,IBP
20684,623960961469349887,525002061,6725523,94.0,16.0,Passenger,Passenger Ship,2023-10-08 20:03:09,Indonesia,S-AIS,MERAK-BAKAUHENI,1.0,0.8666666666666667,1696795389,1696796947,1696798505,0.001137261049386264,0.00017441495864885446,-5.93,105.99666667,-5.930804165,105.99679,-5.93160833,105.99691333,Underway Sailing,1,2,2,2,valid,"LINESTRING (105.99666667 -5.93, 105.99679 -5.930804165,105.99691333 -5.93160833)",POINT (105.99679 -5.930804165),6725523,TITIAN MURNI,525002061.0,Indonesia,Indonesia,F,3614,1101,Passenger/Ro-Ro Ship (Vehicles/Rail),imo match,1,36,IBP
20345,624118018993848319,525005038,9157210,74.0,15.0,Passenger,Passenger Ship,2023-10-08 20:03:19,Indonesia,S-AIS,MAKASSAR,5.55,5.35,1696795399,1696805031,1696814664,0.0,0.0011785136590043307,-5.12,119.40666667,-5.12,119.40583333500001,-5.12,119.405,Under Way Using Engine,2,2,2,2,valid,"LINESTRING (119.40666667 -5.12, 119.40583333500001 -5.12,119.405 -5.12)",POINT (119.40583333500001 -5.12),9157210,WILIS,525005038.0,Indonesia,Indonesia,I,2620,400,Passenger Ship,imo match,1,73,MAK
9273,623960961475575807,525200126,9835991,106.0,21.0,Passenger,,2023-10-08 20:12:56,Indonesia,S-AIS,MERAK,1.1666666666666667,1.0833333333333333,1696795976,1696798276,1696799908,0.000810530438459739,0.0008788945563131348,-5.92333333,105.99166667,-5.924748332,105.991859002,-5.92540833,105.99096167,Under Way Using Engine,5,2,2,5,valid,"LINESTRING (105.99166667 -5.92333333, 105.991859002 -5.924748332,105.99096167 -5.92540833)",POINT (105.991859002 -5.924748332),9835991,MUNIC 9,525200126.0,Indonesia,Indonesia,I,8274,2554,Passenger/Ro-Ro Ship (Vehicles),imo match,1,36,IBP
